Proto_Germanic_Ancestor,Meaning,Target_Old_English,Modern_English,Modern_German,Modern_Dutch,Modern_Swedish
wrakjô,"an exile, one who is persecuted or displaced, fugitive",wræċċa,wretch,Recke,-,-
kalwaz,bald,calu,callow,kahl,kaal,kal
fersnō,heel,fiersn,-,Ferse,verzen,-
bardaz,beard,beard,beard,Bart,baard,bard
bewwą,"crops, yield",bēow,bigg,-,-,bjugg
akwisī,axe,æx,axe,Axt,aks,yxa
akraną,fruit of a tree,æcern,acorn,Ackeran,aker,akarn
seldanē,"seldom, rarely",seldan,seldom,selten,zelden,sällan
strawą,straw,strēaw,straw,Stroh,stro,strå
strawjaną,to strew,strēġan,strew,streuen,strooien,strö
hwistlōną,"to whistle, hiss",hwistlian,whistle,-,wistelen,vissla
krēǭ,crow,crāwe,crow,Krähe,kraai,-
dēhǭ,jackdaw,*dāwe,daw,Tach,-,-
dagāną,"to dawn, to become day",dagian,daw,tagen,dagen,daga
gamaną,"a fellow human, associate, companion",gamen,gammon,Gammel,gemelijk,gamman
barsaz,perch (fish),bærs,barse,Barsch,baars,-
nadrǭ,adder,nǣdre,nadder,Natter,adder,natter
būraz,"dweller, inhabitant",būr,bower,Bauer,buur,-
brēdô,"flesh, meat",brǣd,braai,Brät,braai,bråd
wīsadōmaz,"wise judgement, wisdom",wīsdōm,wisdom,Weistum,wijsdom,visdom
brēdaną,"to warm, heat, broil",brǣdan,braai,braten,braden,-
maiwaz,"gull, seagull",mǣw,mew,Möwe,meeuw,mås
nakwô,"boat, ship",naca,-,Nachen,aak,-
stapulaz,"pillar, post",stapol,staple,Stapel,stapel,stapel
stabaz,"staff, stick",stæf,staff,Stab,staaf,stab
airundiją,message,ǣrende,errand,-,-,ärende
skattaz,"cattle, cows",sċeatt,sceat,Schatz,schat,skatt
kannǭ,"a tankard, mug, cup, can",canne,can,Kanne,kan,kanna
kakǭ,cake,ceace,coca,-,-,kaka
gamalaz,"old, weak",gamol,-,gammelig,gammel,gammal
nabōgaizaz,auger,nafugār,auger,Näber,avegaar,navar
erlaz,"man, nobleman",eorl,earl,-,-,järl
spēnuz,piece of wood,spōn,spoon,Span,spaan,spån
flakaz,flat,flōc,fluke,flach,vlak,flack
bakiz,"brook, stream",bæċ,beach,-beck,beek,bäck
strandō,edge; rim,strand,strand,Strand,strand,strand
delbaną,"to dig, hollow out",delfan,delve,delben,delven,-
ankulaz,ankle,*ancol,ankle,Enkel,enkel,ankel
laukaz,leek,lēac,leek,Lauch,look,lök
klawō,claw,clawu,claw,-,klauw,-
garną,yarn,ġearn,yarn,Garn,garen,garn
hraigrô,heron,hrāgra,-,Reiher,reiger,häger
muldō,mould,molde,mold,Molte,moude,mull
hrabnaz,raven,hræfn,raven,Rabe,raaf,ravn
tōmaz,"free, clear, empty, unoccupied",tōm,toom,-,-,tom
maskwǭ,"loop, knot",mæsċre,mesh,Masche,maas,maska
smertaną,to hurt,*smeortan,smart,schmerzen,smarten,smärta
blauþuz,"weak, feeble, emaciated",blēaþ,blate,blöde,blood,blöd
galaną,"to shout, yell",galan,gale,golen,-,gala
taumaz,a tie; tether; rope; cord; strap; leash; bridle,tēam,team,Zaum,toom,töm
auþuz,"easy, light",īeþe,eath,-,ode,-
hrōfą,roof,hrōf,roof,Roof,roef,ruff
bugô,bow (weapon),boga,bow,Bogen,boog,båge
bultaz,bolt,bolt,bolt,Bolz,bout,bult
linnaną,"to turn, move aside, swerve from, dodge",linnan,lin,-,-,linna
ēlō,awl,āl,-,Ahle,aal,-
wēraz,true; reliable,wǣr,weer,wahr,waar,allvar
failijaz,"true, friendly, familiar, good",fǣle,feal,feil,veil,-
sundą,swimming,sund,sound,Sund,zond,sund
þanhtaz,"thought, idea",þōht,thought,Gedachte,gedachte,-
wlitiz,"sight, appearance",wlite,lit,-,-,let
þigjaną,"to accept, receive",þiċġan,thig,digen,-,tigga
hupiz,"hip, haunch, upper part of the thigh",hype,hip,Hüfte,heup,höft
razną,"house, dwelling",ærn,barn,-,-,rannsaka
malskaz,"soft, tender",*malscrian,masker,-,mals,-
hwelpaz,puppy,hwelp,whelp,Welpe,welp,valp
galgô,"a gallows, gibbet",ġealga,gallow,Galgen,galg,galge
skrīaną,"to caw, screech",sċrēon,scry,schreien,schriën,skria
bikwemaną,"to come near, come around, come by, arrive",becuman,become,bekommen,bekomen,bekomma
handulōną,"to take or hold in the hand, seize, grip",handlian,handle,händeln,handelen,handla
mainijaną,"to mean, think",mǣnan,mean,meinen,menen,mena
liþuz,a bend,liþ,lith,Lied,lid,led
wakraz,awake,wacor,waker,wacker,wakker,vacker
wakaną,"to wake, be awake, arise",wacan,wake,-,-,vaken
gaukaz,cuckoo,ġēac,gowk,Gauch,-,gök
gnaganą,to gnaw,gnagan,gnaw,nagen,knagen,gnaga
wīną,wine,wīn,wine,Wein,wijn,vin
wunjō,"joy, delight, pleasure, lust",wynn,wynn,Wonne,wonne,ynne
kanipaz,"hair on the chin or cheek, beard, whiskers, moustache",cenep,kemp,-,-,kamp
marką,"mark, sign, stamp",marc,mark,Mark,merk,mark
granō,awn,granu,-,Granne,graan,gran
habīgaz,"heavy, weighty",hefiġ,heavy,hebig,hevig,-
grōaną,to green,grōwan,grow,-,groeien,gro
lanō,"lane, passageway",lanu,lane,-,laan,"lana, lan"
wundrą,"wonder, miracle",wundor,wonder,Wunder,wonder,under
skawwōną,"to look, see, watch",sċēawian,show,schauen,schouwen,-
paidō,cloak,pād,pod,Patt,-,pade
tīdiz,time,tīd,tide,Zeit,tijd,tid
lewô,lion,lēo,-,Löwe,leeuw,-
līnǭ,"line, chord, rope, string",līne,line,Leine,lijn,lina
staigriz,"scaffold, platform",stǣġer,stair,-,steiger,-
wurdiz,"fate, destiny",wyrd,werd,-,-,urd
tukkōną,"to tug, pull",tucian,tuck,-,tokken,tåga
Raginaharjaz,a male given name,*Ræġenhere,Rayner,Rainer,Reinier,Ragnar
taubrą,"magic, sorcery",tēafor,tiver,Zauber,toverij,-
hansō,"A gathering, summation, mass, quantity, amount",hōs,Hanse,Hanse,hanze,-
haimatjaną,to bring home,hāmettan,haunt,heimsen,hanteren,hämta
taugō,"cord, string, rope",tēag,tie,-,togenaar,tåg
kustōną,to try,costian,costen,kosten,kosten,kosta
prattuz,boastful talk,prætt,prat,-,prat,-
rīmaną,"to count, enumerate",rīman,rime,reimen,rijmen,-
herdō,herd,heord,herd,Herde,-,hjord
kradô,basket,crat,cart,Kratten,krat,-
faigijaz,"fey, doomed to die",fǣġe,fey,feige,veeg,feg
landijaną,to land,lendan,-,länden,belenden,lända
marǭ,evil (female) spirit; succubus; incubus,mare,mare,Mahr,mare,mara
nakwōną,"to make naked, bare, expose (oneself)",nacian,nake,nackt,naakt,-
wrītaną,"to scratch, carve",wrītan,write,reißen,wrijten,rita
wartǭ,wart,wearte,wart,Warze,wrat,vårta
hūdijaną,"to hide, conceal",hȳdan,hide,-,huiden,-
hulōną,"to hollow out, make hollow",holian,hole,-,holen,håla
flaiski,"meat, flesh",flǣsċ,flesh,Fleisch,vlees,fläsk
babalōną,"to chatter, babble",*bablian,babble,brabbeln,babbelen,babbla
skarpaz,sharp,sċarp,sharp,scharf,scherp,skarp
nakwadaz,naked,nacod,naked,nackt,naakt,nakot
wundō,wound,wund,wound,Wunde,wond,-
þursuz,"dry, lacking water",þyrre,-,dürr,dor,torr
þurstiz,"dryness, thirst (lack of/need for water)",þurst,thirst,Durst,dorst,törst
walkaną,"to turn, wind, roll, toss",wealcan,walk,walken,walken,-
fahsą,hair,feax,fax,-,vas,-
wrīþaną,"to weave, to twist",wrīþan,writhe,reiden,-,vrida
sīganą,"to sink, to drop",sīgan,sie,seigen,zijgen,siga
hrītaną,"to scratch, carve",*hrītan,-,reißen,rijten,rita
līkahamô,the human body; bodily frame,līchama,-,Leichnam,lichaam,lekamen
mōtijaną,"to meet, encounter",mētan,meet,entmuten,moeten,möta
murguz,short; brief,myrġe,merry,murk,-,-
daupijaną,"to dip (in a liquid), to immerse",dīepan,-,taufen,dopen,döpa
spreutaną,to sprout,*sprēotan,sprout,sprießen,spruiten,spruta
mēgaz,"son-in-law; or more generally, a relative through marriage",mǣġ,may,Mage,maag,måg
haitį̄,heat,hǣtu,heat,Heiße,-,-
burþį̄,burden,byrd,-,Bürde,borde,börda
salō,"a handing over, delivery, surrender",sala,sale,-,-,salu
hiwją,"appearance, blee",hīew,hue,-,-,hy
rudāną,to redden (to become red),rudian,rud,röten,roden,-
hinderōną,to hinder,hindrian,hinder,hindern,hinderen,hindra
skaftaz,shaft,sċeaft,shaft,Schacht,schacht,schakt
swarmaz,swarm,swearm,swarm,Schwarm,zwerm,svärm
smeltaną,to melt,*smeltan,smelt,schmelzen,smelten,smälta
wadją,"wager, stake, pledge",wedd,gage,Wette,wedde,vad
wadjōną,"to wager, to pledge",weddian,wed,wetten,wedden,vädja
haunijaną,"to humiliate, to dishonour",hīenan,hean,höhnen,honen,-
hauniz,"despised, poor, miserable",hēan,hean,höhn,hoon,-
sternǭ,star,steorra,star,Stern,ster,stjärna
niftiz,a female descendant or relative,nift,nift,Nichte,nicht,-
stōraz,"big, large",stōr,stoor,-,-,stor
likkōną,to lick,liccian,lick,lecken,likken,-
sindraz,metal slag; dross,sinder,cinder,Sinter,sinder,sinder
hnaskuz,"soft, tender, yielding",hnæsċe,nesh,-,nes,-
sūz,sow (female pig),sū,-,Sau,-,so
putōną,"to stick, stab, poke",*putian,put,-,poten,putta
lōfô,the palm or hollow of the hand,lōf,loof,-,-,love
bulô,bull,bula,bull,Bulle,bul,bulla
bulstraz,"bolster, pillow, cushion",bolster,bolster,Polster,bolster,bolster
nautą,benefit; profit; foredeal,nēat,neat,-,noot,nöt
ganautaz,"associate, companion, comrade",ġenēat,geneat,Genoß,genoot,-
blīþiz,"serene, mild",blīþe,blithe,blid,blijde,blid
talą,speech,tæl,-,-,tal,tal
hattuz,hat,hætt,hat,-,-,hatt
bōsmaz,bosom,bōsm,bosom,Busen,boezem,-
dugunþō,"ability, usefulness, strength",duguþ,douth,Tugend,deugd,dygd
rukkô,"spinning wheel, distaff",*rocca,rock,Rocken,rok,rock
stakô,stake,staca,stake,Stake,staak,stake
skaþô,"damage, scathe",scaþa,shathe,Schaden,schade,skada
skaþōną,"to injure, harm, damage",sċeaþian,scathe,schaden,schaden,skada
uzrēdaną,to guess,ārǣdan,aread,erraten,-,-
pōlaz,pool,pōl,pool,Pool,poel,pool
laihną,"that which is lent, loan",lǣn,loan,Lehen,leen,län
landį̄,"waist, loin",lænden,lend,Lende,lende,länd
mōtą,meeting,*mōt,moot,-,-,emot
drēnuz,male bee or wasp; drone,drān,drone,Drohne,dar,-
sundaz,healthy,*sund,sound,gesund,zond,sund
rakō,a device used for straightening; rake (implement),racu,rake,-,rake,raka
rakintǭ,"fetter, shackle, bond",racente,rackan,-,raaks,-
aglijaną,to damage; offend,eġlan,ail,ekeln,-,-
uzlagjaną,to cause to lie down; lay down,āleċġan,allay,erlegen,-,-
gaberaną,to bear; beget; give birth,ġeberan,bear,gebären,-,-
marzijaną,"to disturb, hinder, impede",mierran,mar,merren,-,-
hnakkô,the back of the neck; nape,*hnæcca,neck,Nacken,nek,nacke
swartōną,"to make black, blacken",sweartian,swart,-,zwarten,-
aunōną,"to lamb, yean",ēanian,ean,-,onen,öna
wētaz,wet,wǣt,weet,-,-,våt
wētijaną,to wet; make wet,wǣtan,wet,-,-,väta
draugiz,"hard, solid",drȳġe,dry,dröge,droog,-
narwaz,constricted; narrow,naro,narrow,-,naar,nor
seuþaną,to seethe; boil,sēoþan,seethe,sieden,zieden,sjuda
aiwaz,"long time, age, eternity",āwa,aye,Ehe,eeuw,ä
elhaz,elk,eolh,elk,Elk,eland,-
sturmaz,storm,storm,storm,Sturm,storm,storm
þankaz,thought; mind; consideration,þanc,thank,Dank,dank,tack
sturkaz,stork,storc,stork,Storch,stork,stork
gundaz,"sore, boil; canker",gund,gound,Gundrebe,onderhave,gundelrev
aitrą,poison,ātor,atter,Eiter,etter,etter
skeubaną,"to push, drive",sċūfan,shove,schieben,sjouwen,sjåa
þwangiz,"restraint, pressure",þwang,thong,Zwang,dwang,-
skēpą,sheep,sċēap,sheep,Schaf,schaap,-
leuþą,"song, lay, song of praise",lēoþ,leed,Lied,lied,-
prattugaz,"boastful, sly, slick, deceitful, tricky, cunning",prættiġ,pretty,-,prettig,-
skurtijǭ,"skirt, apron",sċyrte,shirt,Schürze,schort,skört
gangaz,"pace, step, gait",gang,gang,Gang,gang,gång
blētijaną,to bleat,blǣtan,bleat,blaßen,blaten,-
mōdaz,"mind, sense",mōd,mood,Muth,moed,mod
mōmǭ,"mama, mother",*mōme,mama,Muhme,moene,muna
langiþō,"longness, length",lengþu,length,Längde,lengte,längd
wrīhaną,"to wind, turn",wrēon,wry,reihen,rijgen,-
dustą,dust,dust,dust,Dust,-,dust
dunstą,"mist, haze",dūst,dust,Dunst,dons,dunst
kweþuz,"belly, stomach",cwiþ,kite,Kuttel,-,kved
duntiz,"shock, impact, blow",dynt,dunt,-,-,dunt
saumaz,"stitch, seam, hem, edge",sēam,seam,Saum,zoom,söm
wambō,"belly, stomach, abdomen",wamb,womb,Wamme,wam,våm
wammijaną,to stain,wemman,wem,-,-,vämjas
stertaz,tail,steort,start,Sterz,staart,stjärt
swarō,a solemn statement or affirmation; oath; vow,swaru,swear,Schwur,-,svar
andaswarō,"answer, reply",andswaru,answer,-,-,ansvar
andawurdiją,"answer, reply",andwyrde,-,Antwort,antwoord,-
warkiz,pain,wærċ,wark,-,-,värk
smikraz,"fine, fair, tender, elegant",smicor,smicker,-,-,smäcker
smiþaz,"craftsman, smith",smiþ,smith,Schmied,smid,smed
fastuz,"fixed, firm, secure",fæst,fast,fast,vast,fast
sauzaz,"dry, parched",sēar,sear,sohr,zoor,skör
sweltaną,to die; succumb,sweltan,swelt,-,zwelten,svälta
tuppaz,"tuft, plait (of hair)",top,top,Top,top,topp
brigdilaz,"strap, rein",brīdel,bridle,Breidel,breidel,-
hrappijaną,to rush,hreppan,repe,raffen,reppen,repa
hrapōną,"to scratch, scrape",*hrapian,rape,raffen,rapen,rappa
taljaną,"to enumerate, count",tellan,tell,zählen,tellen,tälja
badwō,"battle, fight",badu,beadhook,-,-,böd
fifaldǭ,butterfly,fifalde,-,Feifalter,vijfwouter,fjäril
haltaz,"lame, halt",healt,halt,-,-,halt
lagą,situation,*læġ,lay,-,lag,lag
balluz,"round object, ball",*beall,ball,Ball,bal,boll
balþaz,"strong, bold",beald,bold,bald,boud,båld
finkiz,finch,finc,finch,-,vink,fink
geldą,"that which is paid out; reward, gift, money",ġield,geld,Geld,geld,gäld
firstiz,ridgepole,first,-,First,verste,-
tamjaną,to tame,temian,tame,zähmen,temmen,tämja
hrugnaz,spawn of frogs or fish; roe,*hrogn,roan,Rogen,roge,rom
hrōkaz,"rook, crow",hrōc,rook,Ruch,roek,råka
kōkô,cake,*cōca,cookie,Kuchen,koek,quiche
faką,An enclosed or defined space; division; compartment; department,fæc,fack,Fach,vak,fack
haiþī,"heath, wasteland",hǣþ,heath,Heide,heide,hed
rīmą,"calculation, number",rīm,rime,Reim,rijm,rim
missijaną,"to go wrong, fail",missan,miss,missen,missen,mista
leþrą,leather,leþer,leather,Leder,leer,läder
jungilingaz,"a young man, youngster",ġeongling,youngling,Jüngling,jongeling,yngling
utraz,otter,otr,otter,Otter,otter,utter
strangaz,"tight, strict, straight",strang,strong,streng,strang,sträng
skandō,"shame, disgrace",sċand,shand,Schande,schande,-
hugjaną,"to think, consider",hyċġan,-,-,heugen,hygga
fernaz,"foregoing, previous",firn,firn,firne,verne,forn
awahaimaz,maternal uncle,ēam,eam,Oheim,oom,-
kustuz,"trial, choice",cost,cost,Kust,kust,-kost
fagraz,"suitable, fitting, appropriate, nice",fæger,fair,fair,fair,fager
flauhaz,flea,flēah,flea,Floh,vlo,-
smakkuz,"taste, savour, smatch, flavour",smæċ,smack,Schmack,smaak,smak
mildijaz,"mild, soft, tender",milde,mild,milde,mild,mild
twinaz,twin,twin,twin,Zwilling,tweeling,tvenne
irzijaz,"bewildered, crazy, confused, lost",eorre,-,irre,ar,-
brōks,"crotch; rear end, rump, hindquarters",brōc,breech,Bruch,broek,brok
mihstaz,"cloud, mist, fog",mist,mist,-,mist,mist
bregdaną,"to flicker, flutter, jerk, tug (on), twitch, flinch, move, swing",breġdan,braid,bretten,breien,bragda
hulþaz,"inclined, favourable (towards)",hold,hold,hold,hou,hull
waldaną,to rule,wealdan,wield,walten,-,vålla
baþōną,to bathe,baþian,bathe,baden,baden,bada
blōþijaną,to bleed,blœ̄dan,bleed,bluten,bloeden,blöda
budōną,"to proclaim, announce, lere, instruct",bodian,bode,-,boden,båda
sundraz,"separate, isolated, alone",sundor,sunder,sondern,zonder,sönder
sundrōną,"to sunder, to separate",sundrian,sunder,sondern,zonderen,-
bōtō,"improvement, betterment",bōt,boot,Buße,boete,bot
batāną,"to become better, improve",batian,batful,-,baten,båta
fatą,"vessel, container",fæt,fat,Fass,vat,fat
hradjaną,to loosen; set free; deliver; rescue; save,hreddan,redd,retten,redden,rädda
saliz,house; dwelling,sele,salon,Saal,zaal,sal
hallō,hall,heall,hall,Halle,hal,hall
walaz,"corpse (dead human-body, especially in a warring context)",wæl,Valhalla,Wal,-,val
hungruz,hunger,hungor,hunger,Hunger,honger,hunger
bukkaz,buck,bucc,buck,Bock,bok,bock
wiþjǭ,"cord, rope, thong",wiþþe,withy,-,wisse,vidja
wiþiz,"cord, rope, thong",wiþe,with,Weid,wede,-
mailą,"spot, mark, blemish",māl,mole,Meil,-,-
dīkaz,"pool, puddle",dīċ,ditch,Deich,dijk,-
stainagaz,"stony, rocky",stāniġ,stony,steinig,stenig,-
wagjaz,wedge,weċġ,wedge,Wecke,weg,-
dōkaz,"cloth, rag",dōc,doek,Tuch,doek,duk
warōną,"to watch, to protect",warian,ware,wahren,garage,vara
dawjaną,to die,*dīeġan,die,tauen,douwen,dö
lūtaną,"to bow down, lout",lūtan,lout,-,-,luta
kazą,"vessel, vat, tub, barrel",*cær,bunker,Kar,kaar,kar
wītaną,to see; know,wītan,wite,weisen,wijten,-
kreupaną,"to writhe, twist, wind",crēopan,creep,kraufen,kruipen,krypa
draibō,"a drive, push, move",drāf,drove,-,dreef,drev
harjōną,to overrun with an army; lay waste; ravage; devastate,hergian,harrow,heeren,-,härja
flukkaz,"crowd, troop, flock",flocc,flock,-,-,flock
handijaną,to take by the hand; seize; grip; capture,*hendan,hend,-,henden,hända
handugaz,handy; skillful with the hands; dextrous,*hendiġ,handy,handig,handig,händig
kinkōną,"to laugh loudly, kink",*ċincian,chink,Keichhusten,kinken,kikhosta
sulī,"balk, bar, threshold, sill",syl,sill,-,zulle,syll
furai,"before, in front",fore,fore,vor,voor,före
hringijaną,"to ring, sound",hrinġan,ring,-,ringen,ringa
hringijaną,to make (into) a ring,*hrinġan,ring,-,ringen,ringa
wīraz,wire,wīr,wire,Wiere,wier,vajer
hōkaz,hook,hōc,hook,Hook,hoek,huk
jihtiz,"statement, confession",ġiht,-,Gicht,jicht,gikt
wīsōną,to visit,wīsian,wise,weisen,-,visa
wīsijaną,"to make wise, knowing; to show, instruct",wīsan,-,weisen,wijzen,-
skrīþaną,"to walk, glide, crawl",sċrīþan,shrithe,schreiten,schrijden,skrida
mēþą,a mowing,mǣþ,math,Mahd,-,-
mērijaną,"to praise, proclaim, celebrate",mǣran,-,mären,vermaren,-
haftijaną,"to make bound; to bind, secure",hæftan,-,heften,hechten,häfta
haftiją,"haft, handle",hæft,haft,Heft,heft,häfte
lindō,linden tree,lind,lind,Linde,linde,lind
marwaz,brittle; delicate; soft; mellow,mearu,mellow,mürbe,murw,mör
meltaną,"to dissolve, to melt",meltan,melt,-,-,multen
smerwą,"grease, butter, fat",smeoru,smear,Schmer,smeer,smör
gudjô,one who invokes; a (pagan) priest (responsible for sacrifices and temple custodian),Gydda,gythja,-,-,gydja
swībaną,to revolve; move around; sway; stray,swīfan,swive,-,-,sväva
skakaną,to swing,sċacan,shake,-,schaken,skaka
hōdaz,shelter; cover; hood,hōd,hood,Hut,hoed,-
targǭ,"edge, rim, border",targe,targe,Zarge,targe,-
timrą,building,timber,timber,Zimmer,timmer,timmer
þinhtaz,tight,*þīht,tight,Tights,dicht,tajt
skīriz,"pure, clear, sheer",sċīr,shire,schier,schier,skir
swammaz,sponge,swamm,swamp,Schwamm,zwam,svamp
maþlą,gathering,mæþel,mail,Mahl,-,mål
drītaną,to defecate,drītan,drite,-,drijten,drita
maþlijaną,to speak,mǣlan,mell,vermählen,-,mäla
þiudijaną,to associate (with); engage with; attach to; join (with); connect,þīedan,-,deuten,duiden,tyda
grīmô,mask,grīma,grime,Grimasse,grijm,grimas
anhtō,persecution,ōht,-,Acht,acht,-
buriz,favourable wind,byre,birr,-,-,bör
wardō,"protection, care",weard,ward,Warte,-,vård
īhwaz,yew,īw,yew,Eibe,ijf,-
būlō,boil; sore,bȳl,boil,Beule,buil,-
braidį̄,breadth,brǣdu,bread,Breite,-,-
wimpilaz,a head covering; wimple; scarf; veil,wimpel,wimple,Wimpel,wimpel,vimpel
traustą,shelter,*trēast,tryst,Trost,troost,tröst
flōduz,river,flōd,flood,Flut,vloed,flod
brōduz,"heat, warmth, incubation",brōd,brood,Brut,broed,-
pakkô,bundle; pack; package,*pacca,pack,Pack,pak,packe
daigijǭ,kneader of bread; dairy-maid,dǣġe,dai,-,-,deja
kittīną,the young of an animal; fawn; kid; whelp,*ċitten,chit,Kitz,-,-
kwernō,millstone,cweorn,quern,-,kweern,kvarn
siniz,old,sine-,sengreen,Sintflut,-,sina
habrô,"goat, buck",*hæfera,haversack,Hafer,haver,havre
stunōną,to make a loud sound; crash,stunian,stun,stöhnen,steunen,-
glīdaną,to glide; slide,glīdan,glide,gleiten,glijden,glida
kaflaz,jaw,ċeafl,jowl,-,kavel,-
biusi,second-person singular present active indicative of *beuną,bist,bist,bist,bis,-
strakaz,"stretched, straight",stræc,strake,strack,strak,-
spindaz,fat; lard; grease; smear,spind,-,Spint,spint,-
mainaiþaz,perjury,mānāþ,-,Meineid,meineed,mened
magraz,"lean, meager",mæġer,-,mager,mager,mager
huppōną,to move up and down; hop,hoppian,hop,hoppen,hoppen,hoppa
huppijaną,to move up and down; hop,*hyppan,hip,hüpfen,huppen,-
sīdaz,"drooping, hanging down, pendulous, long, trailing",sīd,side,-,zijd,sid
kōniz,"able, knowledgeable, skillful, clever",cēne,keen,kühn,koen,kön
murþrijaną,to murder,myrþran,murder,mördern,-,-
murþą,death,morþ,murth,Mord,moord,mord
waldą,"might, power, authority, force",weald,wald,-,-,våld
spinnaną,to spin,spinnan,spin,spinnen,spinnen,spinna
bullǭ,"round object, ball",bolle,bowl,Bollchen,bol,-
binemaną,"to take away, benim",beniman,benim,benehmen,benemen,-
wanaz,"lacking, deficient, absent",wan,wan-,wahn,wan-,van
blīkaną,to gleam; shine,blīcan,blike,bleichen,blijken,blika
wurgijaną,to strangle,wyrġan,worry,würgen,wurgen,-
skup-,"A stem found in various derivatives meaning: barn, shed",sċoppa,shoppe,Schupfen,schop,-
skalkaz,servant,sċealc,shalk,Schalk,schalk,skalk
regnabugô,rainbow,reġnboga,rainbow,Regenbogen,regenboog,regnbåge
regną,rain,reġn,rain,Regen,regen,regn
rustaz,rust,rust,rust,Rost,roest,rost
rūskōną,to make a noise; whiz; whirr,*rūsċian,rush,rauschen,ruisen,-
melwą,"ground corn, meal, flour",melu,meal,Mehl,meel,mjöl
masuraz,"a type of veined or spotted wood, such as maple or walnut",*mæser,mazer,Maser,maser,masur
husǭ,an outer covering; hull; shell; husk; case,hose,hose,Hose,hoos,hosa
kwinkaną,to go out,cwincan,quinch,-,kwinken,-
frustaz,cold; frost; freezing weather,forst,frost,Frost,vorst,frost
hnappaz,bowl; cup,hnæpp,nap,Napf,nap,napp
skakulaz,a link in a chain,sċacul,shackle,Schäckel,schakel,schackel
hnuppô,a tuft or flock of wool,hnoppa,nap,Noppe,nop,noppa
bruþą,broth,broþ,broth,Brod,-,-
hūbǭ,a covering for the head; hood; cowl,hūfe,-,Haube,huif,huva
faluz,terrible; cruel; bad; baleful,*fæle,fell,-,fel,-
mastaz,"rod, pole, perch",mæst,mast,Mast,mast,mast
krupilaz,a cripple,crypel,cripple,Krüppel,kreupel,krympling
wrēkō,persecution,wrǣc,wrack,Rache,wraak,-
uwwalǭ,owl,ūle,owl,Eule,uil,uggla
bazaz,"bare, naked",bær,bare,bar,bar,bar
bazōną,"to bare, make bare",barian,bare,-,baren,-
alinabugô,elbow,elnboga,elbow,Ellenboge,elleboog,almboge
nēhwagabūrô,neighbour,nēahġebūr,neighbour,Nachbar,nagebuur,nabo
klakōną,"to clap, clack",*clacian,clack,-,klakken,-
skiftijaną,"to divide, part, share",sċiftan,shift,schichten,schiften,skifta
starkuz,stiff; rigid,starc,stark,stark,sterk,stark
hliwjaz,lukewarm,*hlīewe,lew,leunen,luw,ly
hlēwaz,lukewarm,hlēow,lew,lau,lauw,-
erþōbazją,strawberry,eorþberġe,earthberry,Erdbeere,aardbei,jordbär
swinþaz,strong,swīþ,swith,geschwind,zwind,-
gōdalīkaz,good; goodly,gōdlīc,goodly,gütlich,goedelijk,-
dimmaz,dim,dimm,dim,dimper,dim,-
laiþaz,loath; loathsome; disgusting,lāþ,loath,leid,leed,led
skamō,shame,sċamu,shame,Scham,schaam,skam
tanhuz,holding together; clinging; sticky; tenacious; tough,tōh,tough,zähe,taai,tuff
smiþōną,"to forge, fashion",smiþian,smith,schmieden,smeden,smida
smiþjǭ,"a smithy, smith's workplace",smiþþe,smithe,Schmiede,smidse,smedja
skautaz,"corner; wedge, protrusion",sċēat,sheet,Schot,schoot,skot
kribjǭ,a wickerwork; crate; wooden trough; manger,cribb,crib,Kribbe,kribbe,krubba
skīdą,"piece of wood, billet, board",sċīd,shide,Scheit,schijd,skid
raupijaną,"to pluck, rip, pull off",rīepan,-,raufen,ropen,-
swīkwaną,to move out of the way; dodge; swerve; avoid; shun,swīcan,swike,-,zwijken,svika
winnaną,"to labour, toil, work",winnan,win,winnen,winnen,vinna
kerbaną,to cut,ceorfan,carve,kerben,kerven,karva
hratōną,to swing; sway; shake.,hratian,rattle,rattern,ratelen,rata
bandiz,band,bænd,band,-,bende,-
spurą,track,spor,spoor,Spur,spoor,spår
rēdaz,"advice, counsel",rǣd,rede,Rat,raad,råd
aikīnaz,"oaken, made of oak",ǣċen,oaken,eichen,-,eken
birkīnaz,"birchen, made of birch",bierċen,birchen,birken,berken,-
swelganą,"to gulp, gobble, swallow, devour",swelgan,swallow,schwelgen,zwelgen,svälja
nurþrōnijaz,northern,norþerne,northern,-,-,norran
halbaz,half,healf,half,halb,half,halv
slūm-,"A stem meaning: slack, loose, limp, flabby",slūma,sloom,schlummen,sluimeren,-
wihslōną,to change; exchange; swap; trade; reciprocate.,*wixlian,wrixle,wechseln,wisselen,växla
weþruz,yearling lamb,weþer,wether,Widder,weder,vädur
turnaz,"bitterness, anger; wrath",torn,-,Zorn,toorn,-
hlūtraz,"clean, clear, pure",hlūtor,-,lauter,luiter,-
stōō,"a place, location, site",stōw,stow,Stau,stuw,-
haupaz,"heap, pile",hēap,heap,Haufen,hoop,hop
melkaną,to milk (get milk from an animal),melcan,milk,melken,melken,-
gōmô,"gum, palate",gōma,gum,-,-,gom
funhtijaz,wet,fūht,-,feucht,vocht,fukt
grunnatjaną,to grunt,grunnettan,grunt,grunzen,-,-
stapjaną,to step,stæppan,step,stepfen,stappen,-
tilōną,to strive; reach; mint; aim; hurry,tilian,till,zielen,telen,-
þragilaz,runner; gofer; servant,þrǣl,thrall,-,drel,träl
